DEBUG [2018-09-11 15:36:44,878] mainServer.Server - aaaa
DEBUG [2018-09-11 15:36:46,767] io.netty.util.internal.logging.InternalLoggerFactory - Using SLF4J as the default logging framework
DEBUG [2018-09-11 15:36:46,793] io.netty.channel.MultithreadEventLoopGroup - -Dio.netty.eventLoopThreads: 4
DEBUG [2018-09-11 15:36:46,934] io.netty.util.internal.PlatformDependent0 - java.nio.Buffer.address: available
DEBUG [2018-09-11 15:36:46,936] io.netty.util.internal.PlatformDependent0 - sun.misc.Unsafe.theUnsafe: available
DEBUG [2018-09-11 15:36:46,939] io.netty.util.internal.PlatformDependent0 - sun.misc.Unsafe.copyMemory: available
DEBUG [2018-09-11 15:36:46,939] io.netty.util.internal.PlatformDependent0 - java.nio.Bits.unaligned: true
DEBUG [2018-09-11 15:36:46,939] io.netty.util.internal.PlatformDependent - Java version: 8
DEBUG [2018-09-11 15:36:46,940] io.netty.util.internal.PlatformDependent - -Dio.netty.noUnsafe: false
DEBUG [2018-09-11 15:36:46,940] io.netty.util.internal.PlatformDependent - sun.misc.Unsafe: available
DEBUG [2018-09-11 15:36:46,940] io.netty.util.internal.PlatformDependent - -Dio.netty.noJavassist: false
DEBUG [2018-09-11 15:36:46,942] io.netty.util.internal.PlatformDependent - Javassist: unavailable
DEBUG [2018-09-11 15:36:46,942] io.netty.util.internal.PlatformDependent - You don't have Javassist in your class path or you don't have enough permission to load dynamically generated classes.  Please check the configuration for better performance.
DEBUG [2018-09-11 15:36:46,943] io.netty.util.internal.PlatformDependent - -Dio.netty.tmpdir: /tmp (java.io.tmpdir)
DEBUG [2018-09-11 15:36:46,944] io.netty.util.internal.PlatformDependent - -Dio.netty.bitMode: 64 (sun.arch.data.model)
DEBUG [2018-09-11 15:36:46,944] io.netty.util.internal.PlatformDependent - -Dio.netty.noPreferDirect: false
DEBUG [2018-09-11 15:36:46,996] io.netty.util.internal.NativeLibraryLoader - -Dio.netty.tmpdir: /tmp (java.io.tmpdir)
DEBUG [2018-09-11 15:36:46,996] io.netty.util.internal.NativeLibraryLoader - -Dio.netty.netty.workdir: /tmp (io.netty.tmpdir)
DEBUG [2018-09-11 15:36:47,070] io.netty.buffer.PooledByteBufAllocator - -Dio.netty.allocator.numHeapArenas: 2
DEBUG [2018-09-11 15:36:47,071] io.netty.buffer.PooledByteBufAllocator - -Dio.netty.allocator.numDirectArenas: 2
DEBUG [2018-09-11 15:36:47,071] io.netty.buffer.PooledByteBufAllocator - -Dio.netty.allocator.pageSize: 8192
DEBUG [2018-09-11 15:36:47,071] io.netty.buffer.PooledByteBufAllocator - -Dio.netty.allocator.maxOrder: 11
DEBUG [2018-09-11 15:36:47,072] io.netty.buffer.PooledByteBufAllocator - -Dio.netty.allocator.chunkSize: 16777216
DEBUG [2018-09-11 15:36:47,072] io.netty.buffer.PooledByteBufAllocator - -Dio.netty.allocator.tinyCacheSize: 512
DEBUG [2018-09-11 15:36:47,072] io.netty.buffer.PooledByteBufAllocator - -Dio.netty.allocator.smallCacheSize: 256
DEBUG [2018-09-11 15:36:47,073] io.netty.buffer.PooledByteBufAllocator - -Dio.netty.allocator.normalCacheSize: 64
DEBUG [2018-09-11 15:36:47,077] io.netty.buffer.PooledByteBufAllocator - -Dio.netty.allocator.maxCachedBufferCapacity: 32768
DEBUG [2018-09-11 15:36:47,084] io.netty.buffer.PooledByteBufAllocator - -Dio.netty.allocator.cacheTrimInterval: 8192
DEBUG [2018-09-11 15:36:47,194] io.netty.channel.DefaultChannelId - -Dio.netty.processId: 17541 (auto-detected)
DEBUG [2018-09-11 15:36:47,196] io.netty.channel.DefaultChannelId - -Dio.netty.machineId: 84:ef:18:ff:fe:d2:55:55 (auto-detected)
DEBUG [2018-09-11 15:36:47,199] io.netty.util.internal.ThreadLocalRandom - -Dio.netty.initialSeedUniquifier: 0xecb6a2cdb0d06122 (took 6 ms)
DEBUG [2018-09-11 15:36:47,293] io.netty.buffer.ByteBufUtil - -Dio.netty.allocator.type: pooled
DEBUG [2018-09-11 15:36:47,293] io.netty.buffer.ByteBufUtil - -Dio.netty.threadLocalDirectBufferSize: 65536
DEBUG [2018-09-11 15:36:47,302] io.netty.util.NetUtil - Loopback interface: lo (lo, 0:0:0:0:0:0:0:1%lo)
DEBUG [2018-09-11 15:36:47,302] io.netty.util.NetUtil - /proc/sys/net/core/somaxconn: 128
